Minister of Defence,Office of the Chief of Defence Staff
"Minister of Justice, Public Administration, Home Affairs, Provincial Councils, Local Government and Labour",Rehabilitation Commissioner General’s Office
"Minister of Justice, Public Administration, Home Affairs, Provincial Councils, Local Government and Labour",Department of Pensions
"Minister of Justice, Public Administration, Home Affairs, Provincial Councils, Local Government and Labour",Sri Lanka Institute of Development Administration
"Minister of Justice, Public Administration, Home Affairs, Provincial Councils, Local Government and Labour",Distance Learning Centre Ltd.
"Minister of Justice, Public Administration, Home Affairs, Provincial Councils, Local Government and Labour",National Human Resources Development Council of Sri Lanka
"Minister of Justice, Public Administration, Home Affairs, Provincial Councils, Local Government and Labour",Public Service Pensioners’ Trust Fund
"Minister of Justice, Public Administration, Home Affairs, Provincial Councils, Local Government and Labour",Local Government Service Pension Fund
"Minister of Justice, Public Administration, Home Affairs, Provincial Councils, Local Government and Labour",Local Government Widows’ and Orphans’ Pension Fund
"Minister of Women, Child and Youth Affairs and Sports",National Committee on Women
"Minister of Women, Child and Youth Affairs and Sports",Sri Lanka Women’s Bureau
"Minister of Women, Child and Youth Affairs and Sports",Department of Probation and Childcare Services
"Minister of Women, Child and Youth Affairs and Sports",National Child Protection Authority
"Minister of Women, Child and Youth Affairs and Sports",National Secretariat for Early Childhood Development
"Minister of Women, Child and Youth Affairs and Sports",National Youth Services Council
"Minister of Women, Child and Youth Affairs and Sports",National Youth Corps
"Minister of Women, Child and Youth Affairs and Sports",National Youth Services Cooperative Society Limited
"Minister of Women, Child and Youth Affairs and Sports",National Centre for Leadership Development
"Minister of Women, Child and Youth Affairs and Sports",Department of Sports Development
"Minister of Women, Child and Youth Affairs and Sports",National Sports Council
"Minister of Women, Child and Youth Affairs and Sports",National Institute of Sports Science
"Minister of Women, Child and Youth Affairs and Sports",Sugathadasa National Sports Complex Authority
"Minister of Women, Child and Youth Affairs and Sports",Institute of Sports Medicine
"Minister of Women, Child and Youth Affairs and Sports",Sri Lanka Anti-doping Agency
"Minister of Education, Science and Technology",Department of Examinations
"Minister of Education, Science and Technology",Department of Educational Publications
"Minister of Education, Science and Technology",National Library and Documentation Services Board
"Minister of Education, Science and Technology",National Colleges of Education
"Minister of Education, Science and Technology",Teachers’ College
"Minister of Education, Science and Technology",UNESCO National Commission of Sri Lanka
