Minister of Defence,Office of the Chief of Defence Staff
"Minister of Agriculture, Lands, Livestock, Irrigation, Fisheries and Aquatic Resources",Milco (Pvt.) Ltd
"Minister of Agriculture, Lands, Livestock, Irrigation, Fisheries and Aquatic Resources",Mahaweli Livestock Enterprise Limited
"Minister of Agriculture, Lands, Livestock, Irrigation, Fisheries and Aquatic Resources",Department of Land Commissioner General
"Minister of Agriculture, Lands, Livestock, Irrigation, Fisheries and Aquatic Resources",Department of Land Use Policy Planning
"Minister of Agriculture, Lands, Livestock, Irrigation, Fisheries and Aquatic Resources",Department of Land Title Settlement
"Minister of Agriculture, Lands, Livestock, Irrigation, Fisheries and Aquatic Resources",Land Reform Commission
"Minister of Agriculture, Lands, Livestock, Irrigation, Fisheries and Aquatic Resources",Survey Department of Sri Lanka
"Minister of Agriculture, Lands, Livestock, Irrigation, Fisheries and Aquatic Resources",Institute of Surveying and Mapping
"Minister of Agriculture, Lands, Livestock, Irrigation, Fisheries and Aquatic Resources",Land Survey Council
"Minister of Agriculture, Lands, Livestock, Irrigation, Fisheries and Aquatic Resources",Land Acquisition Board of Review
"Minister of Agriculture, Lands, Livestock, Irrigation, Fisheries and Aquatic Resources",Department of Irrigation
"Minister of Agriculture, Lands, Livestock, Irrigation, Fisheries and Aquatic Resources","Major irrigation development projects including Uma Oya, Moragahakanda, Kalu Ganga, Gin Ganga, Niwala, Malwathu Oya"
"Minister of Agriculture, Lands, Livestock, Irrigation, Fisheries and Aquatic Resources",Central Engineering Consultancy Bureau and its subsidiaries and affiliated companies
"Minister of Agriculture, Lands, Livestock, Irrigation, Fisheries and Aquatic Resources",Sri Lanka Mahaweli Authority
"Minister of Agriculture, Lands, Livestock, Irrigation, Fisheries and Aquatic Resources",Engineering Council of Sri Lanka
"Minister of Agriculture, Lands, Livestock, Irrigation, Fisheries and Aquatic Resources",Department of Fisheries and Aquatic Resources
"Minister of Agriculture, Lands, Livestock, Irrigation, Fisheries and Aquatic Resources",National Aquatic Resources Research and Development Agency
"Minister of Agriculture, Lands, Livestock, Irrigation, Fisheries and Aquatic Resources",National Aquaculture Development Authority
"Minister of Agriculture, Lands, Livestock, Irrigation, Fisheries and Aquatic Resources",Ceylon Fisheries Corporation
"Minister of Agriculture, Lands, Livestock, Irrigation, Fisheries and Aquatic Resources",Ceylon Fishery Harbours Corporation
"Minister of Agriculture, Lands, Livestock, Irrigation, Fisheries and Aquatic Resources",Cey-Nor Foundation Ltd
"Minister of Agriculture, Lands, Livestock, Irrigation, Fisheries and Aquatic Resources",Northsea Ltd
"Minister of Justice, Public Administration, Home Affairs, Provincial Councils, Local Government and Labour",Attorney General's Department
"Minister of Justice, Public Administration, Home Affairs, Provincial Councils, Local Government and Labour",Legal Draftsman's Department
"Minister of Justice, Public Administration, Home Affairs, Provincial Councils, Local Government and Labour",Department of Debt Conciliation Board
"Minister of Justice, Public Administration, Home Affairs, Provincial Councils, Local Government and Labour",Department of Government Analyst
"Minister of Justice, Public Administration, Home Affairs, Provincial Councils, Local Government and Labour",Office of the Registrar of the Supreme Court
"Minister of Justice, Public Administration, Home Affairs, Provincial Councils, Local Government and Labour",Law Commission of Sri Lanka
"Minister of Justice, Public Administration, Home Affairs, Provincial Councils, Local Government and Labour",Superior Courts Complex Board of Management
