Minister of Defence,Office of the Chief of Defence Staff
"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",Sri Lanka Tourism Promotion Bureau
"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",Sri Lanka Tourism Development Authority
"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",Sri Lanka Institute of Tourism and Hotel Management
"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",Sri Lanka Convention Bureau
"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",Department of National Botanic Gardens
Minister of Energy,Ceylon Electricity Board and its subsidiary Companies
Minister of Energy,Ceylon Electricity Company
Minister of Energy,Lanka Coal Company (Pvt) Ltd
Minister of Energy,LTL Holdings (Pvt.) Ltd.
Minister of Energy,Ceylon Petroleum Corporation
Minister of Energy,Ceylon Petroleum Storage Terminal Ltd.
Minister of Energy,Petroleum Development Authority of Sri Lanka
Minister of Energy,Polipto Lanka (Pvt) Ltd
Minister of Energy,Sri Lanka Sustainable Energy Authority
Minister of Energy,Sri Lanka Atomic Energy Board
Minister of Energy,Sri Lanka Atomic Energy Regulatory Council
"Minister of Agriculture, Lands, Livestock, Irrigation, Fisheries and Aquatic Resources",Department of Agriculture
"Minister of Agriculture, Lands, Livestock, Irrigation, Fisheries and Aquatic Resources",Department of Agrarian Development
"Minister of Agriculture, Lands, Livestock, Irrigation, Fisheries and Aquatic Resources",Agriculture and Agrarian Insurance Board
"Minister of Agriculture, Lands, Livestock, Irrigation, Fisheries and Aquatic Resources",Paddy Marketing Board
"Minister of Agriculture, Lands, Livestock, Irrigation, Fisheries and Aquatic Resources",Hector Kobbekaduwa Agrarian Research and Training Institute
"Minister of Agriculture, Lands, Livestock, Irrigation, Fisheries and Aquatic Resources",Sri Lanka Council for Agricultural Research Policy
"Minister of Agriculture, Lands, Livestock, Irrigation, Fisheries and Aquatic Resources",National Agricultural Diversification and Settlement Authority
"Minister of Agriculture, Lands, Livestock, Irrigation, Fisheries and Aquatic Resources",National Fertilizer Secretariat
"Minister of Agriculture, Lands, Livestock, Irrigation, Fisheries and Aquatic Resources",State Fertilizer Company Ltd.
"Minister of Agriculture, Lands, Livestock, Irrigation, Fisheries and Aquatic Resources",National Hunger Eradication Campaign Board of Sri Lanka (National Food Promotion Board)
"Minister of Agriculture, Lands, Livestock, Irrigation, Fisheries and Aquatic Resources",Institute of Post-Harvest Management
"Minister of Agriculture, Lands, Livestock, Irrigation, Fisheries and Aquatic Resources",Department of Animal Production and Health
"Minister of Agriculture, Lands, Livestock, Irrigation, Fisheries and Aquatic Resources",National Livestock Development Board and affiliated companies
